ManualSearchUnitID,VenueFamily,VenueOrJournal,Year,VolumeTrackIssue,InventorySourceURL,InspectionDate,TotalItems,CandidateCount,ClearNonCandidateCount,NonResearchItemCount,UnitStatus,AccessLimitations,Notes
MSU-NLBSE-2024,NLBSE,Proceedings of the Third ACM/IEEE International Workshop on NL-Based Software Engineering,2024,10.1145/3643787,https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/proceedings/10.1145/3643787,2026-08-15T00:06:33Z,17,,,,BLOCKED,Independent official venue crosscheck remains required; controlled sources are not redistributed.,Publisher TOC defines one front-matter item and 16 research records; 17 raw and normalized rows materialized; no discovery performed.
MSU-NLBSE-2025,NLBSE,2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025,10.1109/NLBSE66842.2025,https://ieeexplore.ieee.org/xpl/conhome/11029398/proceeding,2026-08-15T00:06:33Z,18,,,,BLOCKED,Independent official venue crosscheck remains required; controlled sources are not redistributed.,Publisher TOC and BibTeX reconcile without material conflict; repeated identical display titles were disambiguated by verified occurrence sequence; no discovery performed.
MSU-MODELSWARD-2022,MODELSWARD,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/ProceedingsDetails.aspx?ID=Dp5RIxfE8cM=&t=1,2026-08-15T00:53:15Z,43,,,,BLOCKED,Item-level official venue crosscheck remains required; controlled sources are not redistributed.,Official event landing page is EVENT_LEVEL with no local paper list; no discovery performed.
MSU-MODELSWARD-2023,MODELSWARD,Proceedings of the 11th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,2023,978-989-758-633-0,https://www.scitepress.org/ProceedingsDetails.aspx?ID=M/tLGjnMVq0=&t=1,2026-08-15T00:53:15Z,30,,,,BLOCKED,Item-level official venue crosscheck remains required; controlled sources are not redistributed.,Official event landing page is EVENT_LEVEL with no local paper list; no discovery performed.
MSU-MODELSWARD-2024,MODELSWARD,Proceedings of the 12th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,2024,978-989-758-682-8,https://www.scitepress.org/ProceedingsDetails.aspx?ID=49QTv6m4pGQ=&t=1,2026-08-15T00:53:15Z,40,,,,BLOCKED,Item-level official venue crosscheck remains required; controlled sources are not redistributed.,Official event landing page is EVENT_LEVEL with no local paper list; no discovery performed.
MSU-MODELSWARD-2025,MODELSWARD,Proceedings of the 13th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,2025,978-989-758-729-0,https://www.scitepress.org/ProceedingsDetails.aspx?ID=dTlKgH4dCRo=&t=1,2026-08-15T00:53:15Z,46,,,,BLOCKED,Item-level official venue crosscheck remains required; controlled sources are not redistributed.,Official event landing page is EVENT_LEVEL with no local paper list; no discovery performed.
MSU-MODELSWARD-2026,MODELSWARD,Proceedings of the 14th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,2026,978-989-758-798-6,https://www.scitepress.org/ProceedingsDetails.aspx?ID=rgH/cc0OE3Y=&t=1,2026-08-15T00:53:15Z,,,,,BLOCKED,Complete publisher PRIMARY_TOC and item-level official venue crosscheck remain required; controlled sources are not redistributed.,Saved TOC contains 50 of 59 records; official event page is EVENT_LEVEL only; no inventory or discovery data produced.
MSU-REFSQ-2022,REFSQ,"Requirements Engineering: Foundation for Software Quality: 28th International Working Conference, REFSQ 2022, Proceedings",2022,978-3-030-98464-9,https://link.springer.com/book/10.1007/978-3-030-98464-9,2026-08-15T14:32:02Z,,,,,BLOCKED,Complete publisher PRIMARY_TOC remains required; controlled sources are not redistributed.,Saved Springer page 1 contains 20 cards and links to uncaptured page 2; no inventory or discovery data produced.
MSU-REFSQ-2023,REFSQ,"Requirements Engineering: Foundation for Software Quality: 29th International Working Conference, REFSQ 2023, Proceedings",2023,978-3-031-29786-1,https://link.springer.com/book/10.1007/978-3-031-29786-1,2026-08-15T14:32:02Z,,,,,BLOCKED,Complete publisher PRIMARY_TOC remains required; controlled sources are not redistributed.,Saved Springer page 1 contains 20 cards and links to uncaptured page 2; no inventory or discovery data produced.
MSU-REFSQ-2024,REFSQ,"Requirements Engineering: Foundation for Software Quality: 30th International Working Conference, REFSQ 2024, Proceedings",2024,978-3-031-57327-9,https://link.springer.com/book/10.1007/978-3-031-57327-9,2026-08-15T14:32:02Z,,,,,BLOCKED,Complete publisher PRIMARY_TOC remains required; controlled sources are not redistributed.,Saved Springer page 1 contains 20 cards and links to uncaptured page 2; no inventory or discovery data produced.
MSU-REFSQ-2025,REFSQ,"Requirements Engineering: Foundation for Software Quality: 31st International Working Conference, REFSQ 2025, Proceedings",2025,978-3-031-88531-0,https://link.springer.com/book/10.1007/978-3-031-88531-0,2026-08-15T14:32:02Z,,,,,BLOCKED,Complete publisher PRIMARY_TOC remains required; controlled sources are not redistributed.,Saved Springer page 1 contains 20 cards and links to uncaptured page 2; no inventory or discovery data produced.
MSU-REFSQ-2026,REFSQ,Requirements Engineering: Foundation for Software Quality,2026,978-3-032-21423-2,,2026-08-15T14:32:02Z,,,,,BLOCKED,Complete publisher PRIMARY_TOC and official venue crosscheck remain required; controlled sources are not redistributed.,Only validated aggregate publisher BibTeX was received; no inventory or discovery data produced.
