EvidenceID,OriginalFilename,DetectedYear,DetectedTrack,DetectedPublisher,DetectedProceedingsTitle,Format,SHA256,SizeBytes,RecordCount,ScopeStatus,DuplicateOf,IntegrityStatus,AssignmentStatus,ControlledPath,ProcessingStatus,Notes
EVI-MODELS-CAPES-011,models_2020_companion_part1_pdf.zip,2020,COMPANION,Association for Computing Machinery,Proceedings of the 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings,ZIP,22b59dd70fd95ccbc96fc2d76152c099c2da36862e14f72360542f2839e658c6,36674044,48,OUTSIDE_PROTOCOL_INTERVAL,,VERIFIED,ASSIGNED,controlled://models/historical/2020/publisher_pdf_package_001.zip,HISTORICAL_QUARANTINED,CONTROLLED_FULLTEXT_PACKAGE; outside the protocol interval.
EVI-MODELS-CAPES-012,models_2020_companion_part2_pdf.zip,2020,COMPANION,Association for Computing Machinery,Proceedings of the 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings,ZIP,b16edd136072960d35c4540eb29082e97fd8b107aa12fc9fb8c21b0a82aa2c9f,42362988,46,OUTSIDE_PROTOCOL_INTERVAL,,VERIFIED,ASSIGNED,controlled://models/historical/2020/publisher_pdf_package_002.zip,HISTORICAL_QUARANTINED,CONTROLLED_FULLTEXT_PACKAGE; outside the protocol interval.
EVI-MODELS-CAPES-013,models_2022_companion_part1_pdf.zip,2022,COMPANION,Association for Computing Machinery,Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings,ZIP,d8182c31ccd9b736aa5d609fccd14e7505f3261c2bdff5a19637889a8185a8e0,28559664,36,IN_SCOPE,,VERIFIED,ASSIGNED,controlled://models/2022/companion/publisher_pdf_package_001.zip,INTAKE_COMPLETE,CONTROLLED_FULLTEXT_PACKAGE used only as a package-completeness crosscheck; does not define documentary membership.
EVI-MODELS-CAPES-014,models_2022_companion_part2_pdf.zip,2022,COMPANION,Association for Computing Machinery,Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings,ZIP,1618530e712cc9d3dfece2927061964be286f3f1ced1750af0a0261b96acea32,34607812,43,IN_SCOPE,,VERIFIED,ASSIGNED,controlled://models/2022/companion/publisher_pdf_package_002.zip,INTAKE_COMPLETE,CONTROLLED_FULLTEXT_PACKAGE used only as a package-completeness crosscheck; does not define documentary membership.
EVI-MODELS-CAPES-015,models_2022_companion_part3_pdf.zip,2022,COMPANION,Association for Computing Machinery,Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings,ZIP,2d64e737bc4ee62b8c41ecbeea019ebd5a6f1354a8857baa8994564973eb4117,37534989,43,IN_SCOPE,,VERIFIED,ASSIGNED,controlled://models/2022/companion/publisher_pdf_package_003.zip,INTAKE_COMPLETE,CONTROLLED_FULLTEXT_PACKAGE; 12 PDF hashes also occur in part 1 and the overlap is retained in the controlled audit.
EVI-MODELS-CAPES-016,models_2022_companion_pdfs.zip,2022,MAIN,Association for Computing Machinery,Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems,ZIP,746e4fa00febb8a1ad1f4edf3a89ee8f4478d01fd66e2cd9f8a7edbf5980dcde,44056778,35,IN_SCOPE,,VERIFIED,ASSIGNED,controlled://models/2022/main/publisher_pdf_package_001.zip,INTAKE_COMPLETE,Internal DOI locators and PDF metadata identify the Main proceedings despite the original filename; package does not define membership.
EVI-MODELS-CAPES-017,models_2024_companion_part1_pdf.zip,2024,COMPANION,Association for Computing Machinery,Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,ZIP,25609e1d149f274bb88405971e6dba4ce3e912f2a4b18c177302d6c8050da0bd,32151707,33,IN_SCOPE,,VERIFIED,ASSIGNED,controlled://models/2024/companion/publisher_pdf_package_001.zip,INTAKE_COMPLETE,CONTROLLED_FULLTEXT_PACKAGE used only as a package-completeness crosscheck; does not define documentary membership.
EVI-MODELS-CAPES-018,models_2024_companion_part2_pdf.zip,2024,COMPANION,Association for Computing Machinery,Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,ZIP,a21e8841437256bb769f8d00a0c4d75fec2a35a9fdd07453666ce9f978b51bb2,48169558,35,IN_SCOPE,,VERIFIED,ASSIGNED,controlled://models/2024/companion/publisher_pdf_package_002.zip,INTAKE_COMPLETE,CONTROLLED_FULLTEXT_PACKAGE used only as a package-completeness crosscheck; does not define documentary membership.
EVI-MODELS-CAPES-019,models_2024_companion_part3_pdf.zip,2024,COMPANION,Association for Computing Machinery,Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,ZIP,4449d0089b09a84ea015a30ff543f62232203a36d5e635118905561c83c999c8,59628407,50,IN_SCOPE,,VERIFIED,ASSIGNED,controlled://models/2024/companion/publisher_pdf_package_003.zip,INTAKE_COMPLETE,CONTROLLED_FULLTEXT_PACKAGE used only as a package-completeness crosscheck; does not define documentary membership.
EVI-MODELS-CAPES-020,models_2024_companion_part4_pdf.zip,2024,COMPANION,Association for Computing Machinery,Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,ZIP,4449d0089b09a84ea015a30ff543f62232203a36d5e635118905561c83c999c8,59628407,50,IN_SCOPE,EVI-MODELS-CAPES-019,VERIFIED,DUPLICATE,controlled://models/2024/companion/publisher_pdf_package_003.zip,DUPLICATE_RECORDED,Byte-identical to part 3; a second canonical controlled copy was not created.
EVI-MODELS-CAPES-021,models_2024_companion_part5_pdf.zip,2024,COMPANION,Association for Computing Machinery,Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,ZIP,5e7c0a9ead9fca09a9f3fb9e9daec38c52667a0c47003f8d719db9fd8f4a8110,57061202,38,IN_SCOPE,,VERIFIED,ASSIGNED,controlled://models/2024/companion/publisher_pdf_package_004.zip,INTAKE_COMPLETE,CONTROLLED_FULLTEXT_PACKAGE used only as a package-completeness crosscheck; does not define documentary membership.
EVI-MODELS-CAPES-022,models_2024_conference_pdfs.zip,2024,MAIN,Association for Computing Machinery,Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,ZIP,70f4fb598e65253c00fb69f673be320014675ba3da27b5d35cce375f4aec2edf,45571726,26,IN_SCOPE,,VERIFIED,ASSIGNED,controlled://models/2024/main/publisher_pdf_package_001.zip,INTAKE_COMPLETE,CONTROLLED_FULLTEXT_PACKAGE for the already completed pilot; no pilot artifact was regenerated.
