TY,TI,AU,T2,A2,AB,C3,DA,PY,DO,LA,PB,UR,DB,N1,KW,VL,SP,EP,SN,IS,J2,ST,C1,filter_1,filter_1_date,filter_1_observations
CONF,LLM-Supported Generation of Class Diagrams with Test Cases,"Kop, C.",International Conference on Model-Driven Engineering and Software Development,Ciccozzi F.; Ferreira Pires L.; Bordeleau F.,"Large language models (LLMs) have become an indispensable part of modeling. Several application scenarios for modeling with LLMs have already been presented in order to obtain class diagrams from natural language texts. This paper presents an approach, in which natural language queries are the starting point to generate a class diagram. Such an approach could be used if the class diagram is modelled for describing the data that should be available in the database of an information system. With this approach it is intended, that the stakeholders of such a design process have both, the class diagram as well as typical queries that the database should handle. In the paper it is examined if an LLM would perform well in such an approach. © 2026, Science and Technology Publications, Lda. All rights reserved.",Int. Conf.  Model. Driven. Eng. Softw. Dev.,2026///,2026,10.5220/0014249300004058,English,"Science and Technology Publications, Lda",https://www.scopus.com/pages/publications/105035475763?origin=resultslist,Scopus,"<p>Export Date: 10 August 2026; Cited By: 0; Conference name: 14th International Conference on Model-Based Software and Systems Engineering, MODELSWARD 2026; Conference date: 7 March 2026 through 9 March 2026; Conference code: 349289</p>",LLM; Natural Language Queries; PlantUML; UML Class Diagram,1,194,201,21844348 (ISSN); 978-989758798-6 (ISBN),,,,,,,
CONF,A Systematic Approach to Derive Conceptual Models from BPMN Models,"Lopes, R.; Araújo, J.; da Silveira, D.S.; Sardinha, A.",Lecture Notes in Business Information Processing,Shishkov B.; Shishkov B.; Shishkov B.,"In the digital systems industry, there is a critical intersection between business process modeling and software engineering. This means that companies need to coordinate and align both business process models and conceptual models. However, responsibilities are often divided within the companies, with individuals having expertise in only one of these areas. This division makes the transition from business process models, typically represented as BPMN diagrams, to Conceptual Models, represented as UML Class Diagrams, a challenging task. The difficulty arises from the intrinsic differences between the two notations. This paper proposes an approach to address this problem by developing a software system that leverages the capabilities of OpenAI’s ChatGPT to extract contextual information from BPMN diagrams and generate corresponding UML Class Diagrams. This approach provides a systematic method for transforming business process models into software-based conceptual models. Furthermore, it demonstrates the potential of Artificial Intelligence in automating the complex task of software engineering when combined with business process management. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.",Lect. Notes Bus. Inf. Process.,2024///,2024,10.1007/978-3-031-64073-5_6,English,Springer Science and Business Media Deutschland GmbH,https://www.scopus.com/pages/publications/85200412195?origin=resultslist,Scopus,"<p>Export Date: 10 August 2026; Cited By: 3; Correspondence Address: R. Lopes; NOVA LINCS, NOVA School of Science and Technology, Caparica, Portugal; email: rvc.lopes@fct.unl.pt; J. Araújo; NOVA LINCS, NOVA School of Science and Technology, Caparica, Portugal; email: joao.araujo@fct.unl.pt; D.S. da Silveira; Universidade Federal de Pernambuco (UFPE), Recife, Brazil; email: dsilveira@ufpe.br; A. Sardinha; Pontifícia Universidade Católica do Rio de Janeiro (PUC-Rio), Rio de Janeiro, Brazil; email: sardinha@inf.puc-rio.br; Conference name: 14h International Symposium on Business Modeling and Software Design, BMSD 2024; Conference date: 1 July 2024 through 3 July 2024; Conference code: 315129</p>",Business process model notation; Business Process Model Notation (BPMN); Business process modeling; Conceptual model; Conceptual Model; Digital system; Graphic methods; Language model; Large language model; Large Language Models; Model Driven Development; Model-driven-development; Modeling notation; Process softwares; Software engineering; UML class diagrams,523 LNBIP,83,96,18651348 (ISSN); 978-303164072-8 (ISBN),,,,,,,
CONF,A Real Time Self-Generating Control for AI Platforms,"Trifan, M.; Ionescu, B.; Ionescu, D.","SACI 2024 - 18th IEEE International Symposium on Applied Computational Intelligence and Informatics, Proceedings",,"Recent advancements in hardware and software implementations of Artificial Intelligence have sparked a multitude of revolutionary applications in the theory and implementation of AI algorithms and tools. Significant new developments have been driven by the application of the Transformer concept in the fields of Large Language Models (LLMs), Reinforcement Learning, and other areas. This in turn led to capturing long-range dependencies and contextual information based on data. More recently, strong positions in the AI research community, around the proper implementations and usage of certain Machine Learning (ML) applications, have been thoroughly debated. However, it is very much known, that ChatGPT and other like platforms, such as Llama, or large GNNs, suffer from a series of black-box drawbacks out of which the”factual accuracy”,”halucinations”,”overgeneralization” and others open loop LLMs were reported in the literature. This paper presents an Autonomic Computing (AC) closed-loop architecture that manages and gathers data from user prompts via a DOMifire module. The DOMifire acts as the sensor element of the LLM AC system, referred to as the Plant. This data is logically compared by an Expert System (ES), which serves as the core of the Autonomic Manager in the AC loop of the LLM, with the data obtained from the LLM's output-in this case, the responses generated by ChatGPT. After a reduced number of iterations, the results are evaluated using a Mean Absolute Scaled Error (MASE) metric. In the context of a time series, this process results in a stable set of sentences or rules produced by the Knowledge Base module. An example, in which the”Time Series” of AutoGluOn illustrates the AC - AI interactions for a complementary contributions to a more robust AI platform. An example of the interaction AC-AI is given in the Conclusion section of this paper. © 2024 IEEE.","SACI - IEEE Int. Symp. Appl. Comput. Intell. Informatics, Proc.",2024///,2024,10.1109/SACI60582.2024.10619873,English,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/pages/publications/85202343013?origin=resultslist,Scopus,"<p>Export Date: 10 August 2026; Cited By: 1; Conference name: 18th IEEE International Symposium on Applied Computational Intelligence and Informatics, SACI 2024; Conference date: 23 May 2024 through 25 May 2024; Conference code: 201752</p>",Adversarial machine learning; Autogluon; AutoGluon; Automl; AutoML; Autonomic Computing; Chatbots; ChatGPT; Expert systems; Language model; Large language model; Large Language Models; Machine Learning; Machine-learning; Plantuml; PlantUML; Problem oriented languages; Real- time; Reinforcement learning; Times series,,599,604,979-835032951-3 (ISBN),,,,,,,
CONF,Scaling Assessment of Student Models with LLMs: Integrating Feedback into Practice,"Sölch, M.; Krusche, S.","Proceedings - 2026 IEEE/ACM 48th International Conference on Software Engineering Education and Training, ICSE-SEET 2026",,"Automated assessment of student modeling tasks is difficult to scale because UML diagrams are open-ended, graphical, and highly contextual. This paper presents a production-ready extension of Athena, an open-source feedback system that integrates directly with the learning platform Artemis to provide human-in-the-loop support for modeling exercises. The approach introduces ApollonUML, a domain-specific textual representation that improves LLM interpretability while preserving precise links to diagram elements. Combined with rubric-style grading instructions, the system generates contextualized, pedagogically aligned feedback suggestions that human graders can review, adapt, or reject within their existing grading workflow. A large-scale retrospective observational validation study on authentic student submissions shows that LLM-based feedback can approximate human grading, with characteristic deviations such as generosity toward weaker work, harshness toward stronger work, and failure cases tied to prompt context and model complexity. The analysis further reveals inconsistencies in human grading that LLMS may help surface. These findings indicate that LLM-based assessment is capable of reducing human grader workload while maintaining oversight in modeling education.  © 2026 Copyright held by the owner/author(s).","Proc. - IEEE/ACM Int. Conf. Softw. Eng.g Educ. Train., ICSE-SEET",2026///,2026,10.1145/3786580.3786985,English,"Association for Computing Machinery, Inc",https://www.scopus.com/pages/publications/105045833523?origin=resultslist,Scopus,"<p>Export Date: 10 August 2026; Cited By: 0; Correspondence Address: M. Sölch; Technical University of Munich, Munich, Germany; email: maximilian.soelch@tum.de; Conference name: 48th International Conference on Software Engineering Education and Training, ICSE-SEET 2026; Conference date: 12 April 2026 through 18 April 2026; Conference code: 225881</p>",Automated assessment; Education computing; Engineering education; Feedback; Formative Feedback; Formative feedbacks; Grading; Information management; Language model; Large language model; Large Language Models; Modeling education; Modeling Education; Modeling languages; Modeling task; Open source software; Open systems; Scalings; Software Engineering; Student Modeling; Students; UML; UML diagrams,,221,231,979-840072423-7 (ISBN),,,,,,,
CONF,Mind the Ethics! The Overlooked Ethical Dimensions of GenAI in Software Modeling Education,"Chakraborty, S.; Burgueño, L.; Moreno, N.; Troya, J.; Muñoz, P.","Proceedings - 2025 ACM/IEEE 28th International Conference on Model Driven Engineering Languages and Systems Companion, MODELS-C 2025",,"Generative Artificial Intelligence (GenAI) is rapidly gaining momentum in software modeling education, embraced by both students and educators. As GenAI assists with interpreting requirements, formalizing models, and translating students' mental models into structured notations, it increasingly shapes core learning outcomes such as domain comprehension, diagrammatic thinking, and modeling fluency without clear ethical oversight or pedagogical guidelines. Yet, the ethical implications of this integration remain underexplored. In this paper, we conduct a systematic literature review across six major digital libraries in computer science (ACM Digital Library, IEEE Xplore, Scopus, ScienceDirect, SpringerLink, and Web of Science). Our aim is to identify studies discussing the ethical aspects of GenAI in software modeling education, including responsibility, fairness, transparency, diversity, and inclusion among others. Out of 1,386 unique papers initially retrieved, only three explicitly addressed ethical considerations. This scarcity highlights the critical absence of ethical discourse surrounding GenAI in modeling education and raises urgent questions about the responsible integration of AI in modeling curricula, as well as it evinces the pressing need for structured ethical frameworks in this emerging educational landscape. We examine these three studies and explore the emerging research opportunities as well as the challenges that have arisen in this field. © 2025 IEEE.","Proc. - ACM/IEEE Int. Conf. Model Driven Eng. Lang. Syst. Companion, MODELS-C",2025///,2025,10.1109/MODELS-C68889.2025.00008,English,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/pages/publications/105030493168?origin=resultslist,Scopus,"<p>Export Date: 10 August 2026; Cited By: 1; Correspondence Address: S. Chakraborty; University of Bayreuth, Software Engineering Group, Bayreuth, Germany; email: s.chakraborty@uni-bayreuth.de; Conference name: 28th ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion, MODELS-C 2025; Conference date: 5 October 2025 through 10 October 2025; Conference code: 217851</p>",Artificial intelligence; Bias; Digital libraries; Diversity; Education; Education computing; Ethical technology; Ethics; Gaining momentum; GenAI; Generative artificial intelligence; Language model; Large language model; Large Language Model; Mental model; Modeling languages; Responsibility; Software design; Software modeling; Software Modeling; Students; Teaching; UML,,19,26,979-833157990-6 (ISBN),,,,,,,
JOUR,"26th International Conference on Information Integration and Web Intelligence, iiWAS 2024",,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Delir Haghighi P.; Greguš M.; Kotsis G.; Khalil I.,"The proceedings contain 52 papers. The special focus in this conference is on Information Integration and Web Intelligence. The topics include: Financial News Classification Using Language Learning Models and Reinforcement Learning; ExtractGPT: Exploring the Potential of Large Language Models for Product Attribute Value Extraction; Feature Extraction for Claim Check-Worthiness Prediction Tasks Using LLM; training Data for Dialogue Generation Considering Philosophies; Finding Adequate Additional Layer of Auxiliary Task in BERT-Based Multi-task Learning; ponzi Scheme Detection and Prevention in Blockchain Platforms Using Machine Learning: A Systematic Literature Review; Cross-Chain Personal Data Exchange on EVM Platforms: Enhancing Transparency, and Equity; Incentivize Peer Review Without Rewarding: Using OSS-Like Citation Pull Request; towards Website X-Ray for Europe’s Municipalities: Unveiling Digital Transformation with Multimodal Embeddings; evolving Applications of Conversational Agents in Healthcare: A Literature Review; hybrid Edge-Cloud Federated Learning: The Case of Lightweight Smoking Detection; anonymization of Unstructured Health Data in Spanish; when Good Enough is the Best Option: Use of Digital Sufficiency to Fight Climate Change; multi-target Feature Selection Method for Predicting User-Level Psychological Status from Text; FIEAP: A Machine Learning Approach for Fair and Interpretable Employee Attrition Prediction; HOCON34k: A Corpus of Hate Speech in Online Comments from German Newspapers; SISIS: Sequence Indexing for SImilarity Search; top-k on Sequences: A New Approach to Enhanced Similarity Search; exploratory Data Analysis of Time Series Using Pre-segmented Clustering; a Data Science Approach for Predicting Soccer Passes Using Positional Data; a Method for Integrating Heterogeneous Data into a Knowledge Graph; predicting Knowledge Graph Updates from Edit Histories; Automatic Extraction of RML-star Mappings from Property Graphs; Exploring the Role of UML in Data Modelling for NoSQL Databases: Position Paper; railway Systems’ Ontologies: A Literature Review and an Alignment Proposal; Combining GraphSAGE and Label Propagation for Node Classification in Graphs.",,2025///,2025,,English,Springer Science and Business Media Deutschland GmbH,https://www.scopus.com/pages/publications/85212253172?origin=resultslist,Scopus,"<p>Export Date: 10 August 2026; Cited By: 0; Conference name: 26th International Conference on Information Integration and Web Intelligence, iiWAS 2024; Conference date: 2 December 2024 through 4 December 2024; Conference code: 323819</p>",,15342 LNCS,,,03029743 (ISSN); 978-303178089-9 (ISBN),,Lect. Notes Comput. Sci.,,,,,
CONF,FALAA: Framework for the Abstraction of Language Agent Architectures,"Brandstetter, N.; Bravo-Marquez, F.; Olmedo, F.",Lecture Notes in Computer Science,Rodriguez S.; Feng L.; Müller J.P.,"The rapid development of LLM-based language agents has led to a proliferation of architectures described using ad hoc and inconsistent methods, making it difficult to compare, reproduce, extend or even understand them. To address this, we introduce FALAA: a framework that standardizes the description of language agent architectures through a structured set of components—Planner, Executor, Evaluator, Reflector, Memory, and Environment—and a dual-level methodology combining UML diagrams and OCL specifications. FALAA offers both conceptual clarity and formal precision, enabling unambiguous definitions of agent behaviors and responsibilities. We illustrate its effectiveness through case studies of two representative agents: Reflexion and Retroformer. The formalization reveals critical ambiguities in both architectures, such as vague component definitions and underspecified memory handling. These results show how FALAA enhances clarity, supports architecture comparison, and uncovers design limitations, making it a promising tool for the development and analysis of future language agents. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.",Lect. Notes Comput. Sci.,2026///,2026,10.1007/978-3-032-18011-7_4,English,Springer Science and Business Media Deutschland GmbH,https://www.scopus.com/pages/publications/105030822691?origin=resultslist,Scopus,"<p>Export Date: 10 August 2026; Cited By: 0; Correspondence Address: N. Brandstetter; Department of Computer Science (DCC), University of Chile, Santiago, Chile; email: nicolasbrandstetter@ug.uchile.cl; Conference name: 13th International Workshop on Engineering Multi-Agent Systems, EMAS 2025; Conference date: 19 May 2025 through 20 May 2025; Conference code: 348139</p>",Agent Architecture; Agent architectures; Agent behavior; Architecture; Architecture comparison; Case-studies; Design limitations; Formal specification; Formal Specification; Formalisation; Intelligent agents; Language agent; Language Agents; Memory architecture; OCL specifications; UML diagrams,16407 LNAI,45,61,03029743 (ISSN); 978-303218010-0 (ISBN),,,,,,,
CONF,Generative AI with Modeling and Simulation of Activity and Flow-Based Diagrams,"Alshareef, A.; Keller, N.; Carbo, P.; Zeigler, B.P.","Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST",Guisado-Lizar J.-L.; Riscos-Núñez A.; Morón-Fernández M.-J.; Wainer G.,"In systems engineering and model-based design, the complexity and interrelationships across different system elements always demand continuous elaboration and expansion in various overlapping domains. We examine how such a phenomenon can be assisted with generative AI and benefit from large language models (LLMs), such as GPT-4. We demonstrate ways of incorporating generated text and outputs from LLMs into the modeling process. The approach can customize the GPT-4 model with an activity metamodel specified in Eclipse Ecore or predefined activity diagrams encoded in a textual format for learning from instances. Alternatively, the descriptive text from the LLM can be provided as input to a parser, resulting in an activity that can be readily transformed into a discrete event system specification (DEVS) model with simulation capability. We will discuss how the process can be enhanced in a simulation environment, thus offering the opportunity to examine a variety of scenarios and arguments for incorporating generative AI or general AI as a collaborative agent in the domain of interest. One scenario could begin with a simplified text describing a generic process, yielding an approximate representation as a starting point for further elaboration by modelers to a complex specification through a systematic, guided, and well-defined framework. We demonstrate the approach with activity and flow-based diagrams in a manner applicable to SysML, UML, and systems engineering at large. © ICST Institute for Computer Sciences, Social Informatics and Telecommunications Engineering 2024.",Lect. Notes Inst. Comput. Sci. Soc. Informatics Telecommun. Eng.,2024///,2024,10.1007/978-3-031-57523-5_8,English,Springer Science and Business Media Deutschland GmbH,https://www.scopus.com/pages/publications/85193590331?origin=resultslist,Scopus,"<p>Export Date: 10 August 2026; Cited By: 12; Correspondence Address: A. Alshareef; Department of Information Systems, College of Computer and Information Sciences, King Saud University, Riyadh, 11543, Saudi Arabia; email: ashareef@ksu.edu.sa; Conference name: 15th EAI International Conference on Simulation Tools and Techniques, SIMUTools 2023; Conference date: 14 December 2023 through 15 December 2023; Conference code: 311959</p>",Activity diagram; Activity Diagram; Activity-based; DEVS; Discrete event simulation; Discrete-Event System Specification; Ecore; Flow based; Generative AI; Language model; Model and simulation; Specifications; SysML; Systems Engineering; UML,519 LNICST,95,109,18678211 (ISSN); 978-303157522-8 (ISBN),,,,,,,
CONF,LLM as a Code Generator in Agile Model Driven Development,"Sadik, A.R.; Brulin, S.; Olhofer, M.; Ceravola, A.; Joublin, F.",Communications in Computer and Information Science,José Domínguez Mayo F.; Ferreira Pires L.; Seidewitz E.,"Leveraging Large Language Models (LLM) like GPT-4 in the auto-generation of code represents a significant advancement, yet it is not without its challenges. The ambiguity inherent in natural language descriptions of software poses substantial obstacles to generating deployable, structured artifacts. This research champions Model-Driven Development (MDD) as a viable strategy to overcome these challenges, proposing an Agile Model-Driven Development (AMDD) approach that employs GPT-4 as a code generator. This approach enhances the flexibility and scalability of the code auto-generation process and offers agility that allows seamless adaptation to changes in models or deployment environments. We illustrate this by modeling a multi-agent Unmanned Vehicle Fleet (UVF) system using the Unified Modeling Language (UML), significantly reducing model ambiguity by integrating the Object Constraint Language (OCL) for code structure meta-modeling, and the FIPA ontology language for communication semantics meta-modeling. Applying GPT-4’s auto-generation capabilities yields Java and Python code that is compatible with the JADE and PADE frameworks, respectively. Our thorough evaluation of the auto-generated code verifies its alignment with expected behaviors and identifies enhancements in agent interactions. Structurally, we assessed the complexity of code derived from a model constrained solely by OCL meta-models, against that influenced by both OCL and FIPA-ontology meta-models. The results indicate that the ontology-constrained meta-model produces inherently more complex code, yet its cyclomatic complexity remains within manageable levels, suggesting that additional meta-model constraints can be incorporated without exceeding the high-risk threshold for complexity. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.",Commun. Comput. Info. Sci.,2026///,2026,10.1007/978-3-031-96841-9_10,English,Springer Science and Business Media Deutschland GmbH,https://www.scopus.com/pages/publications/105017372817?origin=resultslist,Scopus,"<p>Export Date: 10 August 2026; Cited By: 1; Correspondence Address: A.R. Sadik; Honda Research Institute Europe, Offenbach am Main, Carl-Legien-Strasse 30, Germany; email: ahmed.sadik@honda-ri.de; Conference name: 12th International Conference on Model-Based Software and Systems Engineering, MODELSWARD 2024; Conference date: 21 February 2024 through 23 February 2024; Conference code: 310559</p>",Agent ontologies; Agile manufacturing systems; Automatic programming; Codegeneration; Codes (symbols); Cyclomatic complexity; Fleet operations; GPT-4 code generation; High level languages; Information systems; Meta model; Metamodeling; Model driven development; Model-driven-development; Multi agent; Multi agent systems; Multi-agent ontology; Object constraint language; Object Constraint Language; Ontology; Semantics; Software design; Unified Modeling Language,2547 CCIS,198,212,18650929 (ISSN); 978-303196840-2 (ISBN),,,,,,,
CONF,A RAG-Enhanced AI Feedback for UML Education,"Ardimento, P.; Bernardi, M.L.; Cimitile, M.; Scalera, M.",Communications in Computer and Information Science,Cristea A.I.; Walker E.; Lu Y.; Santos O.C.; Isotani S.,"Software modeling education often lacks immediate and personalized feedback, making it challenging for novice learners to comprehend modeling principles. This paper continues our ongoing work on developing an AI-driven feedback mechanism to support UML diagram construction. Building on previous efforts, we improved the system by enhancing the RAG-LLM component within the existing UML Miner plugin. The system analyzes students’ modeling behavior and provides real-time, personalized guidance to support learning and improve modeling skills. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.",Commun. Comput. Info. Sci.,2025///,2025,10.1007/978-3-031-99264-3_2,English,Springer Science and Business Media Deutschland GmbH,https://www.scopus.com/pages/publications/105013025049?origin=resultslist,Scopus,"<p>Export Date: 10 August 2026; Cited By: 0; Correspondence Address: P. Ardimento; Department of Informatics, University of Bari Aldo Moro, Bari, Italy; email: pasquale.ardimento@uniba.it; Conference name: Poster papers and late breaking results, workshops and tutorials, practitioners, industry and policy track, doctoral consortium, blue sky and wideAIED papers presented at the 26th International Conference on Artificial Intelligence in Education, AIED 2025; Conference date: 22 July 2025 through 26 July 2025; Conference code: 335989</p>",Artificial intelligence; Artificial Intelligence; Education computing; Feedback; Feedback mechanisms; Immediate feedbacks; Modeling principles; Personalized feedback; Plug-ins; Retrieval augmentation generation; Retrieval Augmentation Generation; Software engineering; Software modeling; Software modeling education; Software Modeling Education; Students; UML class diagrams; UML diagrams; Unified Modeling Language,2591 CCIS,12,18,18650929 (ISSN); 978-303199263-6 (ISBN),,,,,,,
CONF,IO-AutoMapper: Leveraging LLMs to Bind I/O Signal List Entries to Control Function Blocks in Industrial Automation,"Koziolek, H.; Ashiwal, V.; Braun, T.; Linsbauer, S.","IEEE International Conference on Emerging Technologies and Factory Automation, ETFA",Almeida L.; Indria M.; de Sousa M.; Visioli A.; Ashjaei M.; Santos P.,"Automation engineering in process industries involves mapping IO list specifications for sensor and actuator signals to control function blocks from vendor libraries. Due to the non-standardized format and content of IO lists, it is challenging to automate this mapping as it involves interpreting unstructured data (e.g., signal descriptions). Previous approaches proposed mapping of IO list contents to common data schemas, such as ontologies or UML models, but did not provide means to automate the initial data import from heterogeneous input formats. We propose IO-AutoMapper, an LLM-supported method to automatically process spreadsheet IO lists and map their entries to control library function blocks. Experiments with five IO lists with 300 signals each showed more than 98% correct mappings and low LLM processing costs. While LLM hallucinations could not yet be fully eliminated, the method has the potential to reduce human labor for mapping IO list entries by more than 90%. © 2025 IEEE.","IEEE Int. Conf. Emerging Technol. Factory Autom., ETFA",2025///,2025,10.1109/ETFA65518.2025.11205551,English,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/pages/publications/105021830541?origin=resultslist,Scopus,"<p>Export Date: 10 August 2026; Cited By: 1; Correspondence Address: H. Koziolek; Abb Corporate Research Center, Mannheim, Germany; email: heiko.koziolek@de.abb.com; ; ; ; Conference name: 30th IEEE International Conference on Emerging Technologies and Factory Automation, ETFA 2025; Conference date: 9 September 2025 through 12 September 2025; Conference code: 214225; CODEN: 85ROA</p>",Automation; Automation engineering; Control engineering; Control functions; Control logic; Control logic generation; Control Logic Generation; Function Block; Generative AI; IEC 61131-3; Language model; Large language model; Large Language Models; Man machine systems; Mapping,,,,19460740 (ISSN); 979-833155383-8 (ISBN),,,,,,,
CONF,"Evaluating the Quality of Class Diagrams Created by a Generative AI: Findings, Guidelines and Automation Options","Kop, C.",International Conference on Model-Driven Engineering and Software Development,Ciccozzi F.; Pires L.F.; Bordeleau F.,"Working with a Generative AI such as ChatGPT to create conceptual models and particularly Class Diagrams became very popular recently in the modelling community. Therefore, the objectives of this paper are the following: It analyses the previous scientific work to summarize the findings about the quality of AI-generated Class Diagrams. Own tests were carried out too. Based on these findings, the paper provides guidelines for manual quality evaluation. It also discusses automation options for evaluating the quality. © 2025 by SCITEPRESS - Science and Technology Publications, Lda.",Int. Conf.  Model. Driven. Eng. Softw. Dev.,2025///,2025,10.5220/0013103000003896,English,"Science and Technology Publications, Lda",https://www.scopus.com/pages/publications/105001840107?origin=resultslist,Scopus,"<p>Export Date: 10 August 2026; Cited By: 0; Conference name: 13th International Conference on Model-Based Software and Systems Engineering, MODELSWARD 2025; Conference date: 26 February 2025 through 28 February 2025; Conference code: 329129</p>",ChatGPT; Class Diagram; Domain Modelling; PlantUML; Quality Checking,1,150,157,21844348 (ISSN); 978-989758729-0 (ISBN),,,,,,,
CONF,Leveraging Chat-GPT to Generate Educational Assessment Materials for Software Engineering,"Seibert, V.; Geger, T.; Rausch, A.",Communications in Computer and Information Science,Arabnia H.R.; Deligiannidis L.; Amirian S.; Ghareh Mohammadi F.; Shenavarmasouleh F.,"This paper presents an educational use-case for creating assessment materials with Chat-GPT 3.5 turbo in the domain of software engineering. We attempt to (a) alter specific aspects of a generic domain model (UML class diagram) and (b) generate requirement texts (problem scenarios) that creatively describe the previously altered model. The challenge that comes with these two approaches is (1) to change only the variables contained in the generic domain model in such a way, that the resulting domain model makes sense and (2) to generate natural language requirement texts (scenarios) that creatively and correctly describe the underlying domain model. Results: The first approach (a) yielded satisfactory results. After providing Chat-GPT with examples, it was able to alter all variables in a coherent way according to the topic specified in the prompt. This result indicates potential for other educational use cases and ongoing software engineering research with LLMs. Chat-GPT’s generated requirements texts were useful but required caution from the lecturers before handing them out to students. We reflected on the contribution of this paper (and papers similar to this) and argued, that the provided value lies not only in the quality of the yielded results but much rather in describing educational use cases that are worth following up on with future versions of large language models. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.",Commun. Comput. Info. Sci.,2025///,2025,10.1007/978-3-031-85930-4_13,English,Springer Science and Business Media Deutschland GmbH,https://www.scopus.com/pages/publications/105003904503?origin=resultslist,Scopus,"<p>Export Date: 10 August 2026; Cited By: 2; Correspondence Address: T. Geger; Institute for Software and Systems Engineering, Clausthal University of Technology, Clausthal-Zellerfeld, 38678, Germany; email: thomas.tobias.marcello.geger@tu-clausthal.de; Conference name: 20th International Conference on Foundations of Computer Science, FCS 2024, and 20th International Conference on Frontiers in Education, FECS 2024, held as part of the World Congress in Computer Science, Computer Engineering and Applied Computing, CSCE 2024; Conference date: 22 July 2024 through 25 July 2024; Conference code: 330789</p>",Application programs; Behavioral research; Chat-GPT; Computer operating systems; Computer program listings; Computer software maintenance; Domain model; education; Educational assessment; Educational use; Engineering education; Engineering research; Groupware; Industrial research; Language model; Large language model; Large Language Models; Natural language requirements; Program processors; Requirements engineering; Software design; software engineering; Software engineering research; Software packages; Software quality; Students; Teaching; UML; UML class diagrams; Verification,2261 CCIS,137,144,18650929 (ISSN); 978-303185929-8 (ISBN),,,,,,,
CONF,Automated Mobile Operator Customer Service Using Large Language Models Combined with RAG System,"Lovtsov, V.A.; Skvortsova, M.A.","International Youth Conference on Radio Electronics, Electrical and Power Engineering, REEPE","Nasyrov R.; National Research University (NRU), Moscow Power Engineering Institute (MPEI), 14 Krasnokazarmennaya St., Moscow; Tolba M.A.; National Research University (NRU), Moscow Power Engineering Institute (MPEI), 14 Krasnokazarmennaya St., Moscow","Large Language Models (LLMs) have made a real breakthrough in the field of artificial intelligence and have been rapidly integrated into our daily lives, including the telecom domain. The use of Retrieval Augmented Generation (RAG) reduces the likelihood of generating incorrect or outdated data in LLMs and improves the understanding of the query context and the generation of more relevant answers. The aim of this research is to improve the quality of automated customer service for mobile operator customers by using RAG system in combination with different language models. The paper makes a comprehensive analysis of open-source LLMs, the main methods of model adaptation and pre-training. Conclusions are drawn on the applicability of the analyses in the study. The architecture of the RAG system and the deployment diagram are designed. The main stages of system training are described, system results and performance evaluation for different LLMs are given. Major conclusions are drawn on the achievement of the research objective and further development. © 2025 IEEE.","Int. Youth Conf. Radio Electron., Electr. Power Eng., REEPE",2025///,2025,10.1109/REEPE63962.2025.10971107,English,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/pages/publications/105005831460?origin=resultslist,Scopus,"<p>Export Date: 10 August 2026; Cited By: 2; Conference name: 7th International Youth Conference on Radio Electronics, Electrical and Power Engineering, REEPE 2025; Conference date: 8 April 2025 through 10 April 2025; Conference code: 208583</p>",Broadcasting; Customer-service; Daily lives; Electronic mail; Generation systems; Language model; language model adaptation; Language model adaptation; Large language model; LLM; machine learning; Machine-learning; Mobile computing; mobile operator; Mobile operators; Modems; RAG; Retrieval augmented generation; Telecom; telecoms,,,,28317297 (ISSN),2025,,,,,,
